large-perc,small-perc,not-enough,enough-wide,enough-narrow,enough-guards-wide,enough-guards-narrow,num-ants,large-narrow,large-wide,small-narrow,small-wide,ln1,ln2,sn1,sn2,h
0.25,0.05,0.95,0.3,0.1,12,2,28,2,0,2,0,7,6,7,8,0
0.25,0.05,0.95,0.3,0.1,12,2,28,2,0,2,0,6,10,6,6,0
0.25,0.05,0.95,0.3,0.1,12,2,28,2,0,2,0,11,5,5,7,0
0.25,0.05,0.95,0.3,0.1,12,2,29,2,0,2,0,10,5,8,6,0
0.25,0.05,0.95,0.3,0.1,12,2,29,2,0,2,0,5,10,7,7,0
0.25,0.05,0.95,0.3,0.1,12,2,29,2,0,2,0,7,8,5,9,0
0.25,0.05,0.95,0.3,0.1,12,2,29,2,0,2,0,5,13,11,0,0
0.25,0.05,0.95,0.3,0.1,12,2,29,2,0,2,0,7,9,4,9,0
0.25,0.05,0.95,0.3,0.1,12,2,29,2,0,2,0,3,9,7,10,0
0.25,0.05,0.95,0.3,0.1,12,2,29,2,0,2,0,10,8,3,8,0
0.25,0.05,0.95,0.3,0.1,12,2,29,2,0,2,0,8,8,4,9,0
0.25,0.05,0.95,0.3,0.1,12,2,29,2,0,2,0,10,5,5,9,0
0.25,0.05,0.95,0.3,0.1,12,2,30,2,0,2,0,6,11,10,3,0
0.25,0.05,0.95,0.3,0.1,12,2,30,2,0,2,0,8,4,15,3,0
0.25,0.05,0.95,0.3,0.1,12,2,30,2,0,2,0,4,9,5,12,0
0.25,0.05,0.95,0.3,0.1,12,2,30,2,0,2,0,8,9,9,4,0
0.25,0.05,0.95,0.3,0.1,12,2,29,2,0,2,0,6,12,5,6,0
0.25,0.05,0.95,0.3,0.1,12,2,30,2,0,2,0,11,11,3,5,0
0.25,0.05,0.95,0.3,0.1,12,2,30,2,0,2,0,12,8,4,6,0
0.25,0.05,0.95,0.3,0.1,12,2,30,2,0,2,0,9,6,4,11,0
0.25,0.05,0.95,0.3,0.1,12,2,30,2,0,2,0,7,7,10,6,0
0.25,0.05,0.95,0.3,0.1,12,2,31,2,0,2,0,8,15,8,0,0
0.25,0.05,0.95,0.3,0.1,12,2,31,2,0,2,0,6,12,8,5,0
0.25,0.05,0.95,0.3,0.1,12,2,30,2,0,2,0,4,8,14,4,0
0.25,0.05,0.95,0.3,0.1,12,2,31,2,0,2,0,5,9,8,9,0
0.25,0.05,0.95,0.3,0.1,12,2,30,2,0,2,0,7,9,8,6,0
0.25,0.05,0.95,0.3,0.1,12,2,31,2,0,2,0,9,8,7,7,0
0.25,0.05,0.95,0.3,0.1,12,2,31,2,0,2,0,5,6,11,9,0
0.25,0.05,0.95,0.3,0.1,12,2,31,2,0,2,0,7,10,6,8,0
0.25,0.05,0.95,0.3,0.1,12,2,32,2,0,2,0,12,6,9,5,0
0.25,0.05,0.95,0.3,0.1,12,2,31,2,0,2,0,9,9,5,8,0
0.25,0.05,0.95,0.3,0.1,12,2,31,2,0,2,0,11,7,6,7,0
0.25,0.05,0.95,0.3,0.1,12,2,31,2,0,2,0,9,9,5,8,0
0.25,0.05,0.95,0.3,0.1,12,2,32,2,0,2,0,8,6,8,10,0
